Province,GDP ranking ,Year  ,GDP (x10^8CNY),population (x10^4 person),fixed assets investment (x10^8 CNY),total imports and exports (CNY),fiscal expenditure （x10^9CNY),urban disposal income per capita (CNY）
Guangdong,1,2000,10741.25,8650,3145.13,140814657,1080.32,9761.57
Guangdong,1,2001,12039.25,8733,3484.43,146097010,1321.33,10415.19
Guangdong,1,2002,13502.42,8842,3850.78,183016893,1521.08,11137.2
Guangdong,1,2003,15844.64,8963,4813.2,234673452,1695.63,12380.43
Guangdong,1,2004,18864.62,9111,5870.02,295589873,1852.95,13627.65
Guangdong,1,2005,22557.37,9194,6977.93,350576062,2289.07,14769.94
Guangdong,1,2006,26587.76,9442,7973.37,420272575,2553.34,16015.58
Guangdong,1,2007,31777.01,9660,9294.26,482234999,3159.57,17699.3
Guangdong,1,2008,36796.71,9893,10868.67,475717680,3778.57,19732.86
Guangdong,1,2009,39482.56,10130,12933.12,417438345,4334.37,21574.72
Guangdong,1,2010,46013.06,10441,15623.7,531335431,5421.54,23897.8
Guangdong,1,2011,53210.28,10505,17069.2,589990280,6712.4,26897.48
Guangdong,1,2012,57067.92,10594,18751.5,621162915,7387.86,30226.71
Guangdong,1,2013,62474.79,10644,22308.39,676038032,8411,29537.29
Guangdong,1,2014,67809.85,10724,26293.93,661324308,9152.64,32148.11
Guangdong,1,2015,72812.55,10849,30343.03,636851209,12827.8,34757.16
Guangdong,1,2016,80854.91,10999,33303.64,631005168,13446.09,37684.25
Guangdong,1,2017,89705.23,9442,37761.7,681688000,15037.48,40975.1
Guangdong,1,2018,97277.77,9660,37771.2,716021000,15729.26,44341
Jiangsu,2,2000,8553.69,7327,2569.97,37779604,591.28,6800.23
Jiangsu,2,2001,9456.84,7359,2823.2,42506759,729.64,7375.1
Jiangsu,2,2002,10606.85,7406,3450.12,58182745,860.25,8177.64
Jiangsu,2,2003,12442.87,7458,5233,94041122,1047.68,9262.46
Jiangsu,2,2004,15003.6,7523,6557.05,141408306,1312.04,10481.93
Jiangsu,2,2005,18598.69,7588,8165.38,186707489,1673.4,12318.57
Jiangsu,2,2006,21742.05,7656,10069.22,226381888,2013.25,14084.26
Jiangsu,2,2007,26018.48,7723,12268.06,265738346,2553.72,16378.01
Jiangsu,2,2008,30981.98,7762,15300.55,272436778,3247.49,18679.52
Jiangsu,2,2009,34457.3,7810,18949.87,231393091,4017.36,20551.72
Jiangsu,2,2010,41425.48,7869,23184.28,315322605,4914.06,22944.26
Jiangsu,2,2011,49110.27,7899,26692.62,348504508,6221.72,26340.73
Jiangsu,2,2012,54058.22,7920,30854.2,345900691,7027.67,29676.97
Jiangsu,2,2013,59753.37,7939,36373.32,341122862,7798.47,31585.48
Jiangsu,2,2014,65088.32,7960,41938.62,346179386,8472.45,34346.26
Jiangsu,2,2015,70116.38,7976,46246.87,339796871,9687.58,37173.48
Jiangsu,2,2016,77388.28,7999,49663.21,336143161,9981.96,40151.59
Jiangsu,2,2017,85869.76,7656,53277,399975000,10621.03,43621.8
Jiangsu,2,2018,92595.4,7723,53276.8,437935000,11657.35,47200
Shandong,3,2000,8337.47,8998,2531.1,20687523,613.08,6489.97
Shandong,3,2001,9195.04,9041,2788.68,23967013,753.78,7101.08
Shandong,3,2002,10275.5,9082,3483.31,28089945,860.65,7614.36
Shandong,3,2003,12078.15,9125,5315.14,36945896,1010.64,8399.91
Shandong,3,2004,15021.84,9180,6970.62,50205597,1189.37,9437.8
Shandong,3,2005,18366.87,9248,9307.3,62859724,1466.23,10744.79
Shandong,3,2006,21900.19,9309,11111.42,75902549,1833.44,12192.24
Shandong,3,2007,25776.91,9367,12537.7,93129566,2261.85,14264.7
Shandong,3,2008,30933.28,9417,15435.93,110015600,2704.66,16305.41
Shandong,3,2009,33896.65,9470,19034.53,94987356,3267.67,17811.04
Shandong,3,2010,39169.92,9588,23280.52,128049352,4145.03,19945.83
Shandong,3,2011,45361.85,9637,26749.68,152354099,5002.07,22791.84
Shandong,3,2012,50013.24,9685,31256,154999852,5904.52,25755.19
Shandong,3,2013,55230.32,9733,36789.07,165068307,6688.8,26882.39
Shandong,3,2014,59426.59,9789,42495.55,170112192,7177.31,29221.94
Shandong,3,2015,63002.33,9847,48312.44,149860162,8250.01,31545.27
Shandong,3,2016,68024.49,9947,53322.94,154765718,8755.21,34012.08
Shandong,3,2017,72634.15,9309,55202.7,179234000,9258.4,36789.4
Shandong,3,2018,76469.67,9367,55213.5,193029000,10100.96,39549.4
Zhejiang,4,2000,6141.03,4680,2349.95,23040956,431.3,9279.16
Zhejiang,4,2001,6898.34,4729,2834.94,27149705,597.3,10464.67
Zhejiang,4,2002,8003.67,4776,3477.47,34729719,749.9,11715.6
Zhejiang,4,2003,9705.02,4857,4740.27,50829727,896.77,13179.53
Zhejiang,4,2004,11648.7,4925,5781.35,70522377,1062.94,14546.38
Zhejiang,4,2005,13417.68,4991,6520.07,87970384,1265.53,16293.77
Zhejiang,4,2006,15718.47,5072,7590.22,110920907,1471.86,18265.1
Zhejiang,4,2007,18753.73,5155,8420.43,134474739,1806.79,20573.82
Zhejiang,4,2008,21462.69,5212,9323,146634487,2208.58,22726.66
Zhejiang,4,2009,22990.35,5276,10742.32,128238953,2653.35,24610.81
Zhejiang,4,2010,27722.31,5447,12376.04,171630285,3207.88,27359.02
Zhejiang,4,2011,32318.85,5463,14185.28,199820911,3842.59,30970.68
Zhejiang,4,2012,34665.33,5477,17649.4,197203359,4161.88,34550.3
Zhejiang,4,2013,37756.59,5498,20782.11,207960664,4730.47,37079.68
Zhejiang,4,2014,40173.03,5508,24262.77,218093830,5159.57,40392.72
Zhejiang,4,2015,42886.49,5539,27323.32,215990841,6645.98,43714.48
Zhejiang,4,2016,47251.36,5590,30276.07,222072467,6974.26,47237.18
Zhejiang,4,2017,51768.26,5072,31696,256051000,7530.32,51260.7
Zhejiang,4,2018,56197.15,5155,31697.7,285116000,8629.53,55574.3
Henan,5,2000,5052.99,9488,1377.74,1889876,445.53,4766.26
Henan,5,2001,5533.01,9555,1544.06,2302657,508.58,5267.42
Henan,5,2002,6035.48,9613,1725.93,2651480,629.18,6245.4
Henan,5,2003,6867.7,9667,2262.97,3900263,716.6,6926.12
Henan,5,2004,8553.79,9717,3099.38,5478872,879.96,7704.9
Henan,5,2005,10587.42,9380,4311.63,6328021,1116.04,8667.97
Henan,5,2006,12362.79,9392,5904.71,7808032,1440.09,9810.26
Henan,5,2007,15012.46,9360,8010.11,9721811,1870.61,11477.05
Henan,5,2008,18018.53,9429,10490.64,12139574,2281.61,13231.11
Henan,5,2009,19480.46,9487,13704.5,9205739,2905.76,14371.56
Henan,5,2010,23092.36,9405,16585.86,12071043,3416.14,15930.26
Henan,5,2011,26931.03,9388,17768.95,21070271,4248.82,18194.8
Henan,5,2012,29599.31,9406,21450,32660124,5006.4,20442.62
Henan,5,2013,32191.3,9413,26087.46,37132489,5582.31,21740.67
Henan,5,2014,34938.24,9436,30782.17,39911129,6028.69,23672.06
Henan,5,2015,37002.16,9480,35660.35,45953484,6799.35,25575.61
Henan,5,2016,40471.79,9532,40415.09,47138464,7453.74,27232.92
