Category;Order Date;Postal Code;Segment;Product Name;Price;Quantity;Discount;Region
Furniture;11.08.2017;42420;Consumer;Bush Somerset Collection Bookcase;41.9136;2;0;South
Furniture;11.08.2017;42420;Consumer;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;219.582;3;0;South
Office Supplies;6.12.2017;90036;Corporate;Self-Adhesive Address Labels for Typewriters by Universal;6.8714;2;0;West
Furniture;10.11.2016;33311;Consumer;Bretford CR4500 Series Slim Rectangular Table;-383.031;5;0.45;South
Office Supplies;10.11.2016;33311;Consumer;Eldon Fold 'N Roll Cart System;2.5164;2;0.2;South
Furniture;6.09.2015;90032;Consumer;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;14.1694;7;0;West
Office Supplies;6.09.2015;90032;Consumer;Newell 322;1.9656;4;0;West
Technology;6.09.2015;90032;Consumer;Mitel 5320 IP Phone VoIP phone;90.7152;6;0.2;West
Office Supplies;6.09.2015;90032;Consumer;DXL Angle-View Binders with Locking Rings by Samsill;5.7825;3;0.2;West
Office Supplies;6.09.2015;90032;Consumer;Belkin F5C206VTEL 6 Outlet Surge;34.47;5;0;West
Furniture;6.09.2015;90032;Consumer;Chromcraft Rectangular Conference Tables;85.3092;9;0.2;West
Technology;6.09.2015;90032;Consumer;Konftel 250 Conference phone - Charcoal black;68.3568;4;0.2;West
Office Supplies;4/15/2018;28027;Consumer;Xerox 1967;5.4432;3;0.2;South
Office Supplies;12.05.2017;98103;Consumer;Fellowes PB200 Plastic Comb Binding Machine;132.5922;3;0.2;West
Office Supplies;11/22/2016;76106;Home Office;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;-123.858;5;0.8;Central
Office Supplies;11/22/2016;76106;Home Office;Storex DuraTech Recycled Plastic Frosted Binders;-3.816;3;0.8;Central
Office Supplies;11.11.2015;53711;Consumer;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";13.3176;6;0;Central
Office Supplies;5/13/2015;84084;Consumer;Fellowes Super Stor/Drawer;9.99;2;0;West
Office Supplies;8/27/2015;94109;Consumer;Newell 341;2.4824;2;0;West
Technology;8/27/2015;94109;Consumer;Cisco SPA 501G IP Phone;16.011;3;0.2;West
Office Supplies;8/27/2015;94109;;"Wilson Jones Hanging View Binder, White, 1""";7.384;4;0.2;West
